"Species","HabitatForereef","HabitatFringing","COTS","Max_DHW","Cyclone1","Cyclone2","Cyclone3","Land_Dist","Depth_Mean_100m","Depth_Mean_500m","Curvature_Mean_100m","Curvature_Mean_500m","Coral_Mean_Cover","Macroalgae_Mean_Cover","CTB_Mean_Cover","Random: site","Random: year"
"Rhinecanthus.aculeatus",0.03,0.01,0,0,0,0,0,0.04,0.57,0.02,0.06,0.03,0,0,0,0.22,0
"Sargocentron.microstoma",0.17,0.16,0.02,0.01,0,0,0,0.05,0.05,0.03,0.02,0.22,0.01,0.01,0.02,0.03,0.18
"Sargocentron.spiniferum",0.15,0.28,0.01,0.01,0,0,0,0.06,0.09,0.1,0.04,0.15,0.02,0.01,0.02,0.03,0.02
"Scarus.altipinnis",0.26,0.2,0.01,0.01,0,0,0,0.04,0.08,0.07,0.05,0.04,0.11,0.03,0.04,0.02,0.05
"Scarus.forsteni",0.43,0.05,0.01,0,0,0,0,0.05,0.15,0.02,0.07,0.03,0.04,0.01,0.03,0.02,0.08
"Scarus.frenatus",0.29,0.02,0.01,0,0,0,0,0.06,0.05,0.02,0.01,0.03,0.09,0.06,0.13,0.07,0.16
"Scarus.globiceps",0.03,0.01,0.01,0.01,0,0,0,0.25,0.06,0.04,0.07,0.02,0.01,0,0.02,0.01,0.44
"Scarus.niger",0.27,0.41,0.01,0,0,0,0,0.06,0.06,0.02,0.02,0.05,0.02,0.01,0.02,0.02,0.03
"Scarus.oviceps",0.04,0.07,0,0,0,0,0,0.19,0.33,0.03,0.03,0.04,0,0.01,0,0.22,0.02
"Scarus.rubroviolaceus",0.06,0.04,0,0.01,0,0,0,0.07,0.2,0.03,0.01,0.06,0.06,0.04,0.09,0.04,0.29
"Scarus.schlegeli",0.11,0.04,0.04,0.05,0,0,0,0.05,0.24,0.02,0.02,0.08,0.01,0.01,0.05,0.03,0.21
"Siganus.argenteus",0.18,0.05,0.02,0.01,0.01,0,0,0.09,0.09,0.05,0.03,0.05,0.02,0.02,0.03,0.07,0.28
"Siganus.spinus",0.13,0.02,0.01,0.02,0,0,0,0.09,0.49,0.01,0.03,0.13,0,0,0.03,0.01,0.02
"Stegastes.nigricans",0.38,0.14,0,0,0,0,0,0.17,0.04,0.12,0.01,0.03,0.06,0.01,0.01,0.01,0.01
"Stegastes.punctatus",0.58,0.02,0.02,0,0,0,0,0.08,0.03,0.02,0.01,0.1,0.01,0,0.01,0.04,0.08
"Stethojulis.bandanensis",0.27,0.08,0.01,0,0,0,0,0.12,0.1,0.05,0.1,0.02,0.01,0.01,0,0.2,0.03
"Sufflamen.bursa",0.5,0.16,0,0,0,0,0,0.02,0.04,0.01,0.09,0.06,0.03,0.02,0.01,0.05,0
"Synodus.binotatus",0.11,0.07,0.02,0.02,0.01,0,0.01,0.29,0.1,0.08,0.03,0.07,0.04,0.03,0.02,0.04,0.06
"Thalassoma.amblycephalum",0.09,0.11,0,0.01,0,0,0,0.27,0.1,0.02,0.04,0.03,0.02,0.01,0,0.28,0.03
"Thalassoma.hardwicke",0.61,0.03,0,0,0,0,0,0.03,0.23,0.01,0.02,0.02,0,0,0,0.01,0.02
"Thalassoma.lutescens",0.27,0.03,0.01,0,0,0,0,0.12,0.28,0.05,0.02,0.13,0.01,0.02,0.01,0.05,0.02
"Thalassoma.quinquevittatum",0.06,0.05,0,0,0,0,0,0.56,0.07,0.02,0.07,0.02,0.01,0.01,0.01,0.11,0.01
